B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,B1_rad,B2_rad,B3_rad,B4_rad,B5_rad,B6_rad,B7_rad,B8_rad,B9_rad,B10_rad,B11_rad,B1_toa,B2_toa,B3_toa,B4_toa,B5_toa,B6_toa,B7_toa,B8_toa,B9_toa,B10_toa,B11_toa,DateTimeStamp
8886,8059,7271,6702,9121,7085,5974,6983,5016,26052,23962,49.1257209777832,39.60289001464844,27.08860969543457,17.12428092956543,25.369104385375977,3.1917765140533447,0.5026136636734009,22.578147888183594,0.03856422379612923,8.806578636169434,8.108100891113281,0.11150214076042175,0.08777278661727905,0.06516247242689133,0.048835985362529755,0.11824506521224976,0.05982551723718643,0.027947263792157173,0.056898798793554306,0.00045908696483820677,294.3241271972656,292.9983215332031,2014-10-17
8840,8012,7249,6679,8132,7374,6350,6943,5029,24924,22921,48.770198822021484,39.17250061035156,26.95322608947754,16.971647262573242,19.37030029296875,3.6515088081359863,0.6998772025108337,22.224573135375977,0.06991536170244217,8.429600715637207,7.760198593139648,0.11578942835330963,0.09082233160734177,0.06781521439552307,0.05062771961092949,0.0944407507777214,0.07158440351486206,0.040707219392061234,0.05858824402093887,0.0008744454244151711,291.5140075683594,289.9468688964844,2017-10-25
8943,8068,7331,6714,11440,6931,5824,7246,5034,26552,24445,49.70399475097656,39.604820251464844,27.7319278717041,17.193222045898438,39.53213882446289,2.9479641914367676,0.42399099469184875,25.495038986206055,0.08131678402423859,8.973678588867188,8.269518852233887,0.11006247997283936,0.08563826978206635,0.06506609916687012,0.04784354194998741,0.17976221442222595,0.05390074476599693,0.023000625893473625,0.06269346177577972,0.0009490495431236923,295.5477600097656,294.3902282714844,2018-10-12
10151,9254,8346,7814,10519,9331,7939,8425,5039,23783,21765,64.71286010742188,54.720985412597656,39.66921615600586,28.129873275756836,33.761390686035156,6.588669776916504,1.5070513486862183,38.74615478515625,0.0933515727519989,8.04827880859375,7.373863220214844,0.12677820026874542,0.10470092296600342,0.0823529064655304,0.0692591443657875,0.13583554327487946,0.10659607499837875,0.07233568280935287,0.0842972844839096,0.0009598766337148845,288.5970458984375,286.4702453613281,2013-04-02
8883,8039,7243,6672,9271,7386,6115,6948,5019,26098,23982,49.087806701660156,39.34397506713867,26.75460433959961,16.822492599487305,26.29251480102539,3.6525774002075195,0.5753710865974426,22.17967987060547,0.045781925320625305,8.821951866149902,8.114784240722656,0.11390045285224915,0.0891433134675026,0.06579415500164032,0.04904495179653168,0.1252817064523697,0.06998879462480545,0.03270640969276428,0.05714089050889015,0.000557323161046952,294.437255859375,293.0562744140625,2014-10-17
8902,8052,7121,6668,8090,7728,6518,6991,5028,24288,22470,49.4122200012207,39.5761604309082,25.344749450683594,16.807188034057617,19.053150177001953,4.183025360107422,0.7845433354377747,22.702552795410156,0.06749442219734192,8.217049598693848,7.609474182128906,0.11645171791315079,0.09108422696590424,0.06329935789108276,0.049779973924160004,0.0922183021903038,0.08141472935676575,0.045303355902433395,0.05941962078213692,0.0008356291218660772,289.8976745605469,288.6019287109375,2015-10-20
8221,7542,6757,6439,7385,6778,6060,6615,5033,22080,20742,41.7656364440918,33.75729751586914,21.498140335083008,14.846750259399414,15.05933666229248,2.7920632362365723,0.5610261559486389,18.85670280456543,0.08126456290483475,7.4791364669799805,7.031976699829102,0.12787286937236786,0.10091675072908401,0.06975244730710983,0.057127926498651505,0.09468388557434082,0.07058614492416382,0.04208172485232353,0.06411508470773697,0.0013100836658850312,284.0905456542969,283.309814453125,2013-12-17
9099,8350,7546,7196,7179,7670,6747,7300,5057,23147,21715,52.3870735168457,43.843013763427734,30.708253860473633,22.3315486907959,13.561192512512207,4.132676601409912,0.9114025235176086,26.472787857055664,0.13873621821403503,7.835727691650391,7.357153415679932,0.11917596310377121,0.09739924222230911,0.07402341812849045,0.0638473778963089,0.06335311383008957,0.07762864977121353,0.05079297348856926,0.06687112152576447,0.0016572350868955255,286.9364013671875,286.3176574707031,2018-03-02
8838,8009,7255,6699,8555,7541,6453,6952,5030,24956,22950,48.744808197021484,39.13349151611328,27.025146484375,17.17379379272461,21.98642921447754,3.908371686935425,0.7532744407653809,22.327526092529297,0.07234200090169907,8.440295219421387,7.769890308380127,0.11862317472696304,0.09300081431865692,0.06969652324914932,0.052511923015117645,0.10987634211778641,0.07853608578443527,0.044908665120601654,0.06033153459429741,0.000927220331504941,291.5946960449219,290.0328674316406,2017-10-25
8958,8089,7367,6723,11629,7292,5948,7367,5033,26553,24449,49.893096923828125,39.87591552734375,28.160184860229492,17.283512115478516,40.69231414794922,3.4990668296813965,0.4877939522266388,26.868642807006836,0.07891778647899628,8.974013328552246,8.270855903625488,0.11277024447917938,0.08801093697547913,0.06743990629911423,0.049091238528490067,0.18887163698673248,0.0653030276298523,0.027010150253772736,0.06743990629911423,0.0009402212454006076,295.5502014160156,294.4017028808594,2018-10-12
